,city,latitude,longitude,date,temperature_max,temperature_min,precipitation_sum,precipitation_probability_max,wind_speed_max,wind_gusts_max,weather_code,lat,lng,country,iso2,admin_name,capital,population,population_proper,weather_risk_score
0,Ad Dakhla,23.7167,-15.95,2026-09-14,22.4,19.9,0.0,0,19.7,24.5,0,23.7167,-15.95,Morocco,MA,Dakhla-Oued Ed-Dahab,,165463,165463,5
1,Ad Dakhla,23.7167,-15.95,2026-09-15,23.9,19.7,0.0,2,28.7,34.6,3,23.7167,-15.95,Morocco,MA,Dakhla-Oued Ed-Dahab,,165463,165463,5
2,Ad Dakhla,23.7167,-15.95,2026-09-16,23.6,21.7,0.0,0,34.0,42.1,0,23.7167,-15.95,Morocco,MA,Dakhla-Oued Ed-Dahab,,165463,165463,10
3,Ad Dakhla,23.7167,-15.95,2026-09-17,22.4,19.8,0.0,0,38.1,48.6,0,23.7167,-15.95,Morocco,MA,Dakhla-Oued Ed-Dahab,,165463,165463,10
4,Ad Dakhla,23.7167,-15.95,2026-09-18,21.2,20.2,0.0,0,35.6,45.4,0,23.7167,-15.95,Morocco,MA,Dakhla-Oued Ed-Dahab,,165463,165463,10
5,Ad Dakhla,23.7167,-15.95,2026-09-19,21.0,19.9,0.0,0,28.1,35.6,0,23.7167,-15.95,Morocco,MA,Dakhla-Oued Ed-Dahab,,165463,165463,5
6,Ad Dakhla,23.7167,-15.95,2026-09-20,21.7,19.6,0.0,0,30.4,39.2,0,23.7167,-15.95,Morocco,MA,Dakhla-Oued Ed-Dahab,,165463,165463,10
7,Ad Darwa,33.4167,-7.5333,2026-09-14,38.0,23.9,0.0,0,17.7,33.8,2,33.4167,-7.5333,Morocco,MA,Casablanca-Settat,,96619,96619,30
8,Ad Darwa,33.4167,-7.5333,2026-09-15,32.2,20.3,0.0,0,17.6,34.6,45,33.4167,-7.5333,Morocco,MA,Casablanca-Settat,,96619,96619,20
9,Ad Darwa,33.4167,-7.5333,2026-09-16,27.4,19.3,0.0,0,19.0,36.4,45,33.4167,-7.5333,Morocco,MA,Casablanca-Settat,,96619,96619,20
10,Ad Darwa,33.4167,-7.5333,2026-09-17,26.9,18.5,0.0,2,14.5,29.5,3,33.4167,-7.5333,Morocco,MA,Casablanca-Settat,,96619,96619,20
11,Ad Darwa,33.4167,-7.5333,2026-09-18,27.6,16.3,0.0,3,19.5,38.2,45,33.4167,-7.5333,Morocco,MA,Casablanca-Settat,,96619,96619,20
12,Ad Darwa,33.4167,-7.5333,2026-09-19,32.7,18.6,0.0,5,19.6,36.7,45,33.4167,-7.5333,Morocco,MA,Casablanca-Settat,,96619,96619,20
13,Ad Darwa,33.4167,-7.5333,2026-09-20,36.9,20.5,0.0,5,19.8,40.3,3,33.4167,-7.5333,Morocco,MA,Casablanca-Settat,,96619,96619,30
14,Agadir,30.4214,-9.5831,2026-09-14,39.3,28.6,0.0,5,17.3,43.9,3,30.4214,-9.5831,Morocco,MA,Souss-Massa,admin,538000,538000,30
15,Agadir,30.4214,-9.5831,2026-09-15,34.2,26.5,0.2,0,10.5,30.2,3,30.4214,-9.5831,Morocco,MA,Souss-Massa,admin,538000,538000,25
16,Agadir,30.4214,-9.5831,2026-09-16,36.5,23.8,0.0,0,16.3,47.9,0,30.4214,-9.5831,Morocco,MA,Souss-Massa,admin,538000,538000,30
17,Agadir,30.4214,-9.5831,2026-09-17,28.0,20.3,0.0,2,13.8,36.0,2,30.4214,-9.5831,Morocco,MA,Souss-Massa,admin,538000,538000,20
18,Agadir,30.4214,-9.5831,2026-09-18,26.3,19.7,0.0,5,13.5,36.7,2,30.4214,-9.5831,Morocco,MA,Souss-Massa,admin,538000,538000,20
19,Agadir,30.4214,-9.5831,2026-09-19,37.7,20.2,0.0,3,16.3,40.0,3,30.4214,-9.5831,Morocco,MA,Souss-Massa,admin,538000,538000,30
20,Agadir,30.4214,-9.5831,2026-09-20,40.1,25.2,0.0,0,16.9,38.5,1,30.4214,-9.5831,Morocco,MA,Souss-Massa,admin,538000,538000,30
21,Aguelmous,33.1324,-5.8366,2026-09-14,35.0,21.4,0.1,20,16.4,34.9,3,33.1324,-5.8366,Morocco,MA,Béni Mellal-Khénifra,,36560,36560,40
22,Aguelmous,33.1324,-5.8366,2026-09-15,33.0,18.8,0.0,0,22.1,43.6,3,33.1324,-5.8366,Morocco,MA,Béni Mellal-Khénifra,,36560,36560,20
23,Aguelmous,33.1324,-5.8366,2026-09-16,29.6,15.6,0.0,0,19.5,41.4,1,33.1324,-5.8366,Morocco,MA,Béni Mellal-Khénifra,,36560,36560,20
24,Aguelmous,33.1324,-5.8366,2026-09-17,28.4,15.8,0.0,13,15.2,31.7,3,33.1324,-5.8366,Morocco,MA,Béni Mellal-Khénifra,,36560,36560,20
25,Aguelmous,33.1324,-5.8366,2026-09-18,29.9,13.9,0.0,30,20.6,40.7,2,33.1324,-5.8366,Morocco,MA,Béni Mellal-Khénifra,,36560,36560,25
26,Aguelmous,33.1324,-5.8366,2026-09-19,31.0,17.0,0.3,12,15.8,34.9,3,33.1324,-5.8366,Morocco,MA,Béni Mellal-Khénifra,,36560,36560,25
27,Aguelmous,33.1324,-5.8366,2026-09-20,33.3,17.6,0.0,13,16.9,32.8,2,33.1324,-5.8366,Morocco,MA,Béni Mellal-Khénifra,,36560,36560,20
28,Ain El Aouda,33.8111,-6.7922,2026-09-14,37.6,22.6,0.0,0,17.9,35.3,1,33.8111,-6.7922,Morocco,MA,Rabat-Salé-Kénitra,,98502,98502,30
29,Ain El Aouda,33.8111,-6.7922,2026-09-15,30.7,19.7,0.0,0,19.6,39.2,0,33.8111,-6.7922,Morocco,MA,Rabat-Salé-Kénitra,,98502,98502,20
30,Ain El Aouda,33.8111,-6.7922,2026-09-16,26.8,18.6,0.0,0,20.6,41.4,2,33.8111,-6.7922,Morocco,MA,Rabat-Salé-Kénitra,,98502,98502,20
31,Ain El Aouda,33.8111,-6.7922,2026-09-17,26.4,17.1,0.0,0,15.8,31.7,3,33.8111,-6.7922,Morocco,MA,Rabat-Salé-Kénitra,,98502,98502,20
32,Ain El Aouda,33.8111,-6.7922,2026-09-18,28.1,15.0,0.0,3,18.3,37.4,45,33.8111,-6.7922,Morocco,MA,Rabat-Salé-Kénitra,,98502,98502,20
33,Ain El Aouda,33.8111,-6.7922,2026-09-19,32.4,16.5,0.0,5,15.5,33.1,3,33.8111,-6.7922,Morocco,MA,Rabat-Salé-Kénitra,,98502,98502,20
34,Ain El Aouda,33.8111,-6.7922,2026-09-20,36.7,20.5,0.0,5,20.4,39.2,0,33.8111,-6.7922,Morocco,MA,Rabat-Salé-Kénitra,,98502,98502,30
